Symbol,Name,Open,Last,Prev_Open,Prev_Last,Open_2D_Ago,Last_2D_Ago,20D_MA,Volume,Industry,Sector
EXRO-WT.TO,Exro Technologies Inc,0.6,0.6,0.55,0.6,0.55,0.55,0.58,27500,N/L,N/A
EXE.TO,Extendicare Inc,7.28,7.2,7.23,7.28,7.2,7.2,7.1,37207,N/L,Medical
EXE-DB-C.TO,Extendicare Inc 5 Pct Debs,100,100.1,100,100,100.5,100.5,100.41,31000,N/L,N/A
FABL.CN,Fabled Copper Corp.,0.045,0.05,0.045,0.045,0.045,0.045,0.047,165499,N/L,N/A
FCO.VN,Fabled Silver Gold Corp,0.095,0.09,0.085,0.085,0.08,0.08,0.081,36000,N/L,N/A
FD.VN,Facedrive Inc,0.67,0.69,0.66,0.64,0.66,0.65,0.675,51371,N/L,Computers and Technology
FFH-PR-G.TO,Fairfax Financial Hldngs Pref Ser G,16.5,16.52,16.55,16.52,16.5,16.5,16.35,24100,N/L,N/A
FFH-PR-C.TO,Fairfax Fncl Holdings Ltd Pref Ser C,21.48,21.62,21.47,21.47,20.91,21.34,21.28,6425,N/L,N/A
FFH-PR-J.TO,Fairfax Fncl Holdings Ltd Pref Ser J,20,20,19.86,20.05,19.8,19.95,20.12,25900,N/L,N/A
FPC.VN,Falco Resources Ltd,0.31,0.3,0.3,0.305,0.305,0.3,0.301,17500,N/L,Basic Materials
FO.VN,Falcon Oil & Gas Ltd,0.16,0.16,0.155,0.16,0.16,0.155,0.172,49255,N/L,Oils-Energy
FNC.VN,Fancamp Exploration Ltd,0.13,0.13,0.13,0.13,0.125,0.125,0.124,20900,N/L,Basic Materials
FDM.CN,Fandifi Technology Corp,0.14,0.135,0.135,0.135,0.14,0.135,0.164,62500,N/L,N/A
FANS.CN,Fansunite Entertainment Inc,0.265,0.265,0.225,0.26,0.2,0.22,0.213,292824,N/L,N/A
FAT.CN,Far Resources Ltd,0.225,0.22,0.185,0.21,0.185,0.18,0.204,247214,N/L,N/A
